Date;mood
26-02-14;6.25
27-02-14;633.333.333.333.333
04-03-14;7
05-03-14;633.333.333.333.333
05-03-14;8
06-03-14;7.2
06-03-14;7.25
07-03-14;7.4
07-03-14;7.5
08-03-14;7
08-03-14;7.6
09-03-14;7.2
09-03-14;7.2
10-03-14;6.8
10-03-14;733.333.333.333.333
11-03-14;6.6
11-03-14;6.2
12-03-14;7
12-03-14;6.4
13-03-14;6.6
13-03-14;7
13-03-14;8
13-03-14;7.25
14-03-14;8
14-03-14;7.4
14-03-14;7.8
14-03-14;6.5
14-03-14;7.4
14-03-14;8
15-03-14;6.2
15-03-14;6.4
15-03-14;5.5
15-03-14;7
15-03-14;6.75
15-03-14;6.4
16-03-14;633.333.333.333.333
16-03-14;633.333.333.333.333
16-03-14;7
16-03-14;6.4
16-03-14;616.666.666.666.667
16-03-14;6.6
17-03-14;6.75
17-03-14;6
17-03-14;5.4
17-03-14;6.6
17-03-14;6.4
17-03-14;7.2
18-03-14;8.2
18-03-14;7.5
18-03-14;6.4
18-03-14;7
18-03-14;7.2
18-03-14;6.6
19-03-14;6.8
19-03-14;6.75
19-03-14;6.8
19-03-14;7
19-03-14;7.8
19-03-14;7.4
19-03-14;6.4
20-03-14;7.25
20-03-14;7.2
20-03-14;5.25
20-03-14;6.4
20-03-14;6.4
20-03-14;7
20-03-14;7
20-03-14;566.666.666.666.667
20-03-14;7
20-03-14;7
21-03-14;6.2
21-03-14;7.5
21-03-14;9
21-03-14;7.25
21-03-14;7
21-03-14;6.6
21-03-14;7
21-03-14;6.4
21-03-14;6.4
21-03-14;7
21-03-14;6.8
21-03-14;7.4
21-03-14;466.666.666.666.667
21-03-14;7
21-03-14;7.8
22-03-14;6.4
22-03-14;6.5
22-03-14;7.8
22-03-14;3.75
22-03-14;6
22-03-14;6.4
22-03-14;7
22-03-14;8.4
22-03-14;5.8
22-03-14;7
22-03-14;6.5
22-03-14;7.4
22-03-14;6.6
22-03-14;7.5
22-03-14;7
22-03-14;7.6
23-03-14;6.8
23-03-14;6.25
23-03-14;8.2
23-03-14;4.4
23-03-14;7.75
23-03-14;7.2
23-03-14;6.75
23-03-14;7.4
23-03-14;6
23-03-14;7
23-03-14;7
23-03-14;7.4
23-03-14;7
23-03-14;7.6
23-03-14;7
23-03-14;7.5
23-03-14;7.8
24-03-14;6
24-03-14;6.4
24-03-14;7.8
24-03-14;3.75
24-03-14;7
24-03-14;8
24-03-14;6.8
24-03-14;7.25
24-03-14;8.8
24-03-14;6.5
24-03-14;7
24-03-14;6.4
24-03-14;7
24-03-14;6
24-03-14;6.8
24-03-14;5.8
24-03-14;7
24-03-14;7.8
25-03-14;6.75
25-03-14;7.75
25-03-14;7.8
25-03-14;533.333.333.333.333
25-03-14;7
25-03-14;766.666.666.666.667
25-03-14;7.2
25-03-14;6.2
25-03-14;7.6
25-03-14;5.75
25-03-14;7
25-03-14;6
25-03-14;7.5
25-03-14;5.5
25-03-14;6
25-03-14;6.2
25-03-14;6.6
25-03-14;8
26-03-14;6.6
26-03-14;7.2
26-03-14;8.25
26-03-14;5.5
26-03-14;8
26-03-14;6.6
26-03-14;6.5
26-03-14;7.75
26-03-14;8.4
26-03-14;7
26-03-14;7.2
26-03-14;5.6
26-03-14;7.2
26-03-14;6
26-03-14;6.8
26-03-14;7
26-03-14;6.4
26-03-14;6.8
27-03-14;7
27-03-14;7.25
27-03-14;7.75
27-03-14;5.8
27-03-14;7
27-03-14;6.8
27-03-14;633.333.333.333.333
27-03-14;7.8
27-03-14;7
27-03-14;7.4
27-03-14;6.6
27-03-14;7
27-03-14;6
27-03-14;7.2
27-03-14;6.6
27-03-14;7
27-03-14;7
27-03-14;6.2
27-03-14;7.75
28-03-14;6.4
28-03-14;6.8
28-03-14;8
28-03-14;6.2
28-03-14;7.6
28-03-14;8.25
28-03-14;6.25
28-03-14;8.25
28-03-14;6.75
28-03-14;7.6
28-03-14;6.2
28-03-14;7.2
28-03-14;6.5
28-03-14;7.2
28-03-14;6.6
28-03-14;6.25
28-03-14;7
28-03-14;8
28-03-14;7.8
29-03-14;8
29-03-14;7.25
29-03-14;8.6
