"Date","mood"
"2014-02-26",6.25
"2014-02-27",6.33333333333333
"2014-03-04",7
"2014-03-05",6.33333333333333
"2014-03-05",8
"2014-03-06",7.2
"2014-03-06",7.25
"2014-03-07",7.4
"2014-03-07",7.5
"2014-03-08",7
"2014-03-08",7.6
"2014-03-09",7.2
"2014-03-09",7.2
"2014-03-10",6.8
"2014-03-10",7.33333333333333
"2014-03-11",6.6
"2014-03-11",6.2
"2014-03-12",7
"2014-03-12",6.4
"2014-03-13",6.6
"2014-03-13",7
"2014-03-13",8
"2014-03-13",7.25
"2014-03-14",8
"2014-03-14",7.4
"2014-03-14",7.8
"2014-03-14",6.5
"2014-03-14",7.4
"2014-03-14",8
"2014-03-15",6.2
"2014-03-15",6.4
"2014-03-15",5.5
"2014-03-15",7
"2014-03-15",6.75
"2014-03-15",6.4
"2014-03-16",6.33333333333333
"2014-03-16",6.33333333333333
"2014-03-16",7
"2014-03-16",6.4
"2014-03-16",6.16666666666667
"2014-03-16",6.6
"2014-03-17",6.75
"2014-03-17",6
"2014-03-17",5.4
"2014-03-17",6.6
"2014-03-17",6.4
"2014-03-17",7.2
"2014-03-18",8.2
"2014-03-18",7.5
"2014-03-18",6.4
"2014-03-18",7
"2014-03-18",7.2
"2014-03-18",6.6
"2014-03-19",6.8
"2014-03-19",6.75
"2014-03-19",6.8
"2014-03-19",7
"2014-03-19",7.8
"2014-03-19",7.4
"2014-03-19",6.4
"2014-03-20",7.25
"2014-03-20",7.2
"2014-03-20",5.25
"2014-03-20",6.4
"2014-03-20",6.4
"2014-03-20",7
"2014-03-20",7
"2014-03-20",5.66666666666667
"2014-03-20",7
"2014-03-20",7
"2014-03-21",6.2
"2014-03-21",7.5
"2014-03-21",9
"2014-03-21",7.25
"2014-03-21",7
"2014-03-21",6.6
"2014-03-21",7
"2014-03-21",6.4
"2014-03-21",6.4
"2014-03-21",7
"2014-03-21",6.8
"2014-03-21",7.4
"2014-03-21",4.66666666666667
"2014-03-21",7
"2014-03-21",7.8
"2014-03-22",6.4
"2014-03-22",6.5
"2014-03-22",7.8
"2014-03-22",3.75
"2014-03-22",6
"2014-03-22",6.4
"2014-03-22",7
"2014-03-22",8.4
"2014-03-22",5.8
"2014-03-22",7
"2014-03-22",6.5
"2014-03-22",7.4
"2014-03-22",6.6
"2014-03-22",7.5
"2014-03-22",7
"2014-03-22",7.6
"2014-03-23",6.8
"2014-03-23",6.25
"2014-03-23",8.2
"2014-03-23",4.4
"2014-03-23",7.75
"2014-03-23",7.2
"2014-03-23",6.75
"2014-03-23",7.4
"2014-03-23",6
"2014-03-23",7
"2014-03-23",7
"2014-03-23",7.4
"2014-03-23",7
"2014-03-23",7.6
"2014-03-23",7
"2014-03-23",7.5
"2014-03-23",7.8
"2014-03-24",6
"2014-03-24",6.4
"2014-03-24",7.8
"2014-03-24",3.75
"2014-03-24",7
"2014-03-24",8
"2014-03-24",6.8
"2014-03-24",7.25
"2014-03-24",8.8
"2014-03-24",6.5
"2014-03-24",7
"2014-03-24",6.4
"2014-03-24",7
"2014-03-24",6
"2014-03-24",6.8
"2014-03-24",5.8
"2014-03-24",7
"2014-03-24",7.8
"2014-03-25",6.75
"2014-03-25",7.75
"2014-03-25",7.8
"2014-03-25",5.33333333333333
"2014-03-25",7
"2014-03-25",7.66666666666667
"2014-03-25",7.2
"2014-03-25",6.2
"2014-03-25",7.6
"2014-03-25",5.75
"2014-03-25",7
"2014-03-25",6
"2014-03-25",7.5
"2014-03-25",5.5
"2014-03-25",6
"2014-03-25",6.2
"2014-03-25",6.6
"2014-03-25",8
"2014-03-26",6.6
"2014-03-26",7.2
"2014-03-26",8.25
"2014-03-26",5.5
"2014-03-26",8
"2014-03-26",6.6
"2014-03-26",6.5
"2014-03-26",7.75
"2014-03-26",8.4
"2014-03-26",7
"2014-03-26",7.2
"2014-03-26",5.6
"2014-03-26",7.2
"2014-03-26",6
"2014-03-26",6.8
"2014-03-26",7
"2014-03-26",6.4
"2014-03-26",6.8
"2014-03-27",7
"2014-03-27",7.25
"2014-03-27",7.75
"2014-03-27",5.8
"2014-03-27",7
"2014-03-27",6.8
"2014-03-27",6.33333333333333
"2014-03-27",7.8
"2014-03-27",7
"2014-03-27",7.4
"2014-03-27",6.6
"2014-03-27",7
"2014-03-27",6
"2014-03-27",7.2
"2014-03-27",6.6
"2014-03-27",7
"2014-03-27",7
"2014-03-27",6.2
"2014-03-27",7.75
"2014-03-28",6.4
"2014-03-28",6.8
"2014-03-28",8
"2014-03-28",6.2
"2014-03-28",7.6
"2014-03-28",8.25
"2014-03-28",6.25
"2014-03-28",8.25
"2014-03-28",6.75
"2014-03-28",7.6
"2014-03-28",6.2
"2014-03-28",7.2
"2014-03-28",6.5
"2014-03-28",7.2
"2014-03-28",6.6
"2014-03-28",6.25
"2014-03-28",7
"2014-03-28",8
"2014-03-28",7.8
"2014-03-29",8
"2014-03-29",7.25
"2014-03-29",8.6
"2014-03-29",6.4
"2014-03-29",7.8
"2014-03-29",7
"2014-03-29",7.16666666666667
"2014-03-29",8
"2014-03-29",6.75
"2014-03-29",7.2
"2014-03-29",8
"2014-03-29",7
"2014-03-29",6
"2014-03-29",6.8
"2014-03-29",7.4
"2014-03-29",7.4
"2014-03-29",7.25
"2014-03-29",8.2
"2014-03-29",8.4
"2014-03-30",7.5
"2014-03-30",7
"2014-03-30",8.4
