,id,Date,mood,arousal,valence,activity,screentime (s),other (s),travel (s),weather (s),buu,coso,enga,fiof,teca
0,AS14.01,2014-02-26,6.25,-0.25,0.75,,,,,,,,,,3.0
1,AS14.01,2014-02-27,6.333333333333333,0.0,0.3333333333333333,,,,,,,,,,
2,AS14.01,2014-03-21,6.2,0.2,0.2,0.13405010398938863,17978.90700006484,239.75100000000003,915.4450000000002,,3737.9720000000007,10789.390000000003,1007.456,221.75000000000003,6.0
3,AS14.01,2014-03-22,6.4,0.6,0.5,0.2368802192399581,6142.160999536513,98.14300000000001,37.305,,849.0500000000001,5402.550000000001,93.324,21.076,4.0
4,AS14.01,2014-03-23,6.8,0.2,0.8,0.14274111580506368,6773.832001447676,72.82300000000001,,30.386,1316.332,6138.1579999999985,94.346,43.403000000000006,
5,AS14.01,2014-03-24,6.0,0.8,0.0,0.07896105611559798,15047.351000547404,66.55799999999999,419.805,,1045.6879999999996,12494.254999999997,976.971,37.116,10.0
6,AS14.01,2014-03-25,6.75,0.5,0.5,0.09837411239050675,21475.354999065392,178.81900000000002,,,1490.8840000000002,12196.221999999998,68.206,43.053999999999995,1.0
7,AS14.01,2014-03-26,6.6,-0.2,0.6,0.10130832167007593,16423.801000356674,97.498,,,1200.8619999999996,13580.812,910.4789999999999,52.331,
8,AS14.01,2014-03-27,7.0,0.2,0.8,0.1595106409690975,17442.14999938011,58.532,47.314,,1408.3559999999998,7871.893000000001,639.3389999999999,224.67,3.0
9,AS14.01,2014-03-28,6.4,-0.6,0.6,0.09569802163712016,4923.48899960518,225.951,1133.0089999999998,,10364.312000000004,1379.5739999999998,1238.439,89.166,5.0
10,AS14.01,2014-03-29,8.0,0.2,1.0,0.06820281010186964,8322.621999740602,169.59399999999997,52.435,,2553.267,3193.5799999999995,1627.4289999999996,,5.0
11,AS14.01,2014-03-30,7.5,-0.5,0.75,0.049092970521542004,4523.2140009403265,74.003,,,519.138,1466.19,1535.6770000000001,,
12,AS14.01,2014-03-31,7.4,0.0,0.6,0.07050548088338955,11836.83400034904,268.554,183.38100000000003,,3201.0000000000005,6683.2919999999995,1810.096,41.255,6.0
13,AS14.01,2014-04-01,6.0,0.2,0.0,0.11844324271273599,17173.906002044678,121.19000000000001,1614.621,,1903.1530000000002,11135.593000000003,1265.378,640.214,1.0
14,AS14.01,2014-04-02,6.5,0.3333333333333333,0.6666666666666666,0.10191661063822345,21358.510999917988,541.541,,,3955.7200000000003,10348.947999999999,1343.3759999999997,338.258,4.0
15,AS14.01,2014-04-03,6.4,-1.2,0.0,0.04923847270844107,21401.835000753403,213.90199999999996,19.082,,2504.2360000000017,17592.322999999997,1293.631,76.234,4.0
16,AS14.01,2014-04-04,6.2,0.2,0.4,0.12668931120732582,12379.411000013357,176.80100000000002,158.24099999999999,,2086.5209999999997,7567.825,1545.227,,3.0
17,AS14.01,2014-04-05,6.8,-0.4,0.6,0.11900230220344549,3340.4309999942784,81.133,187.94500000000002,,15278.145999999993,2248.6169999999997,76.369,,
18,AS14.01,2014-04-06,6.5,-0.75,0.5,0.06440779944246812,7467.321999788283,119.12,,,4594.911,3677.2030000000013,301.62,,4.0
19,AS14.01,2014-04-07,6.5,-0.6666666666666666,0.25,0.05067062117431789,9846.380999803541,170.34799999999998,60.247,,1133.1879999999996,8830.433,447.121,63.235,1.0
20,AS14.01,2014-04-08,6.6,-0.4,0.3333333333333333,0.07532705826134849,15101.13200187683,209.51399999999995,,,928.8319999999998,12132.673999999999,3466.4789999999994,19.131,1.0
21,AS14.01,2014-04-09,7.4,-0.8,1.0,0.12038411453232874,13558.289000988008,346.654,,,2215.9760000000006,9003.426,940.7699999999999,,4.0
22,AS14.01,2014-04-10,7.4,-0.4,0.8,0.07896310519489107,9296.098999261858,107.91900000000001,,,1093.0419999999997,6056.128000000001,1859.9520000000005,23.195,7.0
23,AS14.01,2014-04-11,7.0,-1.2,0.8,0.07998620207306051,10526.846000194553,51.45200000000001,34.234,,3583.6789999999996,3933.399000000002,1976.1380000000001,94.093,
24,AS14.01,2014-04-12,7.25,-0.75,0.75,0.07224906147031818,11750.809000968928,79.033,5.031000000000001,,654.8379999999997,6859.514999999998,2186.482,,
25,AS14.01,2014-04-13,8.0,-1.25,1.0,0.014021328954370723,2005.7509992122657,94.20899999999999,,,447.41499999999996,1131.2969999999998,249.392,82.413,
26,AS14.01,2014-04-14,7.2,-1.2,0.6,0.08388731446988419,17985.447999238968,145.09600000000003,29.104000000000003,,1947.5949999999998,9408.269000000002,6265.556,89.32300000000001,2.0
27,AS14.01,2014-04-15,6.4,0.0,0.8,0.09011215278072525,13585.222998380666,110.415,8.363,,1876.1489999999994,10652.440999999999,944.5219999999999,13.043,9.0
28,AS14.01,2014-04-16,7.2,0.75,0.5,0.11611033612712218,12522.47499895096,40.78399999999999,,,1147.2,7087.868,426.73400000000004,,1.0
29,AS14.01,2014-04-17,6.6,-0.4,0.6,0.05691785667209682,15018.480000734336,53.763000000000005,,,601.919,13960.484999999999,142.241,,2.0
30,AS14.01,2014-04-18,6.8,-0.8,0.8,0.09403300669497609,13490.728999614708,47.788999999999994,63.873999999999995,,1949.5779999999997,7335.579,774.354,119.163,1.0
31,AS14.01,2014-04-19,7.8,-0.2,1.0,0.09943191172384026,13293.2480006218,31.482,128.89,,1251.9859999999996,3124.932,498.358,95.629,1.0
32,AS14.01,2014-04-20,7.25,-0.25,0.75,0.07481624304311597,8343.518000364305,34.202,,,1018.1210000000001,7222.4659999999985,727.492,10.606000000000002,4.0
33,AS14.01,2014-04-21,7.6,-0.25,1.0,0.10204105896824717,3832.9909992218018,58.04899999999999,68.278,,3653.1139999999987,2433.3190000000004,74.88000000000001,33.266,2.0
34,AS14.01,2014-04-22,7.4,0.2,1.0,0.09192955182229205,15490.269999265669,63.16,,,2636.1690000000017,12783.461000000007,1101.017,38.453,2.0
35,AS14.01,2014-04-23,7.6,0.2,1.0,0.04598568913376553,14535.339999437334,42.398,,,1377.7860000000003,9455.069999999998,347.4270000000001,18.051,1.0
36,AS14.01,2014-04-24,7.6,-0.4,1.0,0.0509029881940343,22086.478000164043,31.933,51.184,,2182.467999999999,12380.669000000002,4464.974999999999,209.937,1.0
37,AS14.01,2014-04-25,7.2,-0.2,0.8,0.10906106363682745,13973.941999673843,68.847,63.316,,1165.5869999999998,9506.838,650.832,21.070999999999998,3.0
38,AS14.01,2014-04-26,7.6,-0.2,1.0,0.21424877162423497,15482.018999338148,46.205,470.77300000000014,,1183.4299999999996,4936.234,125.556,27.267000000000003,7.0
39,AS14.01,2014-04-27,7.5,0.0,1.0,0.030478923798963695,5700.562000036243,1056.684,,,1351.6519999999996,2458.9679999999994,1510.221,,
40,AS14.01,2014-04-28,7.6,-0.8,0.8,0.0196753225383989,10807.829999685286,72.58399999999999,,,1692.1939999999997,7121.305000000001,1548.4379999999999,465.25300000000004,2.0
41,AS14.01,2014-04-29,7.0,-0.25,1.0,0.10275824852950448,7873.291999101639,40.471999999999994,41.982,,5700.349000000001,4246.129999999999,1895.8380000000004,,
42,AS14.01,2014-04-30,7.8,-0.4,0.75,0.1510514590407472,9175.604999065401,185.78300000000002,272.798,,957.258,3639.7839999999997,504.862,375.02200000000005,1.0
43,AS14.01,2014-05-01,8.0,-0.4,1.0,0.03706526814765703,15516.951998472216,44.43,,,2145.682,13110.352000000004,470.866,1349.2019999999995,11.0
44,AS14.01,2014-05-02,7.6,-0.2,1.0,0.07734101929677568,15088.519000768663,32.443,,,806.5189999999997,8697.184,352.88800000000003,1069.748,
45,AS14.01,2014-05-03,8.0,-0.2,1.0,0.07174088489517204,8186.036000728604,40.568999999999996,143.631,,908.9639999999997,4745.377999999998,2761.9500000000003,296.313,1.0
46,AS14.01,2014-05-04,8.0,-0.5,1.0,0.13619180837703834,5889.194999456405,35.525000000000006,,,1758.4379999999996,3876.3660000000004,928.4060000000001,,
47,AS14.02,2014-03-16,6.333333333333333,0.0,0.0,,4902.626999616626,408.1059999999999,,,2437.0460000000003,3333.4199999999996,88.39200000000001,,5.0
48,AS14.02,2014-03-17,6.75,0.5,0.5,0.16806841495032573,10159.769001245493,103.69899999999998,,,1229.3469999999995,4621.144000000002,2511.178,,4.0
49,AS14.02,2014-03-18,8.2,0.6,0.8,0.2194843842554376,4512.4710013866425,88.72200000000001,,,2604.5209999999993,4145.444999999999,88.943,,16.0
50,AS14.02,2014-03-19,6.8,0.4,0.4,0.31563175685064315,8182.757000207906,105.536,567.1649999999998,,1554.558,2644.803999999999,196.13899999999995,,6.0
51,AS14.02,2014-03-20,7.25,-0.5,0.75,0.23902496021034733,4360.33400130272,86.857,,,1777.9770000000005,2285.9689999999996,148.18,,11.0
52,AS14.02,2014-03-21,7.5,-0.75,0.75,0.2896279249001075,11155.850999116892,37.944,442.29599999999994,,2230.3030000000017,3246.4670000000006,459.604,,11.0
53,AS14.02,2014-03-22,6.5,-1.0,-0.5,0.44604368683290135,7589.562002897265,43.204,780.617,,1930.2659999999992,2260.9230000000007,662.9110000000001,,26.0
54,AS14.02,2014-03-23,6.25,-1.0,0.0,0.2696971570335323,4528.527000665666,61.864999999999995,1263.189,,894.506,2011.8929999999993,388.09799999999996,,9.0
55,AS14.02,2014-03-24,6.4,0.2,-0.2,0.15612466250149995,2766.64899945259,81.80799999999999,,,1073.4960000000003,3244.982,532.0129999999999,,5.0
56,AS14.02,2014-03-25,7.75,-1.25,0.75,0.23051365485645378,4637.388000011445,50.375,,,2806.931,2937.198,459.58899999999994,,7.0
57,AS14.02,2014-03-26,7.2,-1.2,0.4,0.29395346240584214,6069.630000829695,41.95,,,1736.7440000000004,4095.8720000000003,767.1449999999999,,5.0
58,AS14.02,2014-03-27,7.25,0.0,0.5,0.22884900892215096,5746.980998754502,731.853,,,2334.2869999999994,3078.409000000002,490.78100000000006,,3.0
59,AS14.02,2014-03-28,6.8,-0.6,0.6,0.2615983280781396,3969.5809991359715,125.66900000000001,,,1053.115,3962.3420000000015,707.6400000000001,,10.0
60,AS14.02,2014-03-29,7.25,-0.75,0.25,0.4324693550603951,4403.242997646333,52.840999999999994,501.64399999999995,,17416.279999999995,2665.343,1063.268,,4.0
61,AS14.02,2014-03-30,7.0,-1.0,0.75,0.24188730879396783,3937.041998863219,113.22800000000001,,,772.7870000000001,1433.7570000000003,1278.594,,11.0
62,AS14.02,2014-03-31,7.2,-0.8,0.4,0.15637292366427655,4774.1459991931915,81.741,,,1186.2989999999995,4519.9529999999995,354.9650000000001,,16.0
63,AS14.02,2014-04-01,7.4,-0.2,0.8,0.26196053218905446,3297.737997055054,186.41299999999998,345.20000000000005,,2790.0139999999997,1513.7310000000002,76.976,,3.0
64,AS14.02,2014-04-02,6.4,-0.6,-0.2,0.31912056179963355,6883.828001737594,128.744,,,1964.2099999999998,3260.324,1021.4540000000001,,2.0
65,AS14.02,2014-04-03,5.75,-0.25,0.0,0.32250583990998855,6814.30000090599,56.132,318.29400000000004,,1269.299000000001,3717.852,548.787,,2.0
66,AS14.02,2014-04-04,6.4,-1.2,0.2,0.22727035660896044,3653.3700008392334,148.852,,,1121.6890000000003,2950.7560000000003,809.7279999999998,,5.0
67,AS14.02,2014-04-05,7.4,0.0,0.6,0.3219197224805253,13067.926001548765,100.897,388.071,,1957.0869999999986,2568.2699999999995,794.484,,10.0
68,AS14.02,2014-04-06,4.5,-1.0,-1.25,0.21520952016085246,3649.967998504639,30.011,,,576.3849999999999,1615.864,618.9800000000002,,6.0
69,AS14.02,2014-04-07,6.8,0.0,0.6,0.13652373439609958,6366.526998281479,106.148,,,1482.9479999999999,5769.363000000001,737.916,,2.0
70,AS14.02,2014-04-08,6.25,-0.25,0.5,0.261951037621564,4079.151999473573,134.434,,,1184.7779999999993,2902.1079999999993,193.47999999999996,,11.0
